sample_name	altitude	antibiotic_status	body_habitat	body_product	body_site	collection_date	collection_timestamp	country	depth	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	latitude	longitude	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_type	scientific_name	title	treatment
1958.Antibioticday1.1.69	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 1	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	11	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	1
1958.Antibioticday1.10.76	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 10	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	18	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	10
1958.Antibioticday1.2.70	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 2	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	12	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	2
1958.Antibioticday1.3.71	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 3	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	13	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	3
1958.Antibioticday1.6.72	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 6	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	14	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	6
1958.Antibioticday1.7.73	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 7	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	15	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	7
1958.Antibioticday1.8.74	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 8	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	16	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	8
1958.Antibioticday1.9.75	0	Antibiotic day 1	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibioticday1 Sample, Treatment 9	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	17	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	9
1958.Antibioticday5.10.86	0	Antibiotic day 5	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibiioticday5 Sample, Treatment 10	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	23	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	10
1958.Antibioticday5.6.82	0	Antibiotic day 5	UBERON:feces	UBERON:feces	UBERON:feces	08/01/2012	08/01/2012	GAZ:United States of America	0	Antibiioticday5 Sample, Treatment 6	TRUE	29.28106117	urban biome	mammalia-associated habitat	feces	host-associated	USA:MN:Rochester	germ-free mouse	Mus musculus	19	37.42411	-122.16608	Mayo Clinic	FALSE	TRUE	Host-associated	Animal	Animal distal gut	1958	stool	mouse gut metagenome	Complex interactions among diet, gastrointestinal transit, and gut microbiota in humanized mice.	6
